date_week,contrib_x1_true,contrib_x2_true,base_true
2024-04-28,3133.759338978037,1626.4777771316465,4708.364820522568
2024-05-05,2096.6225713620133,1772.1640094998113,4658.3870927149255
2024-05-12,1800.7514203981686,1620.9702362961684,4598.808598536881
2024-05-19,1788.14735352406,1955.4533822787241,4530.498126592636
2024-05-26,2894.5724237914637,1792.8275995119725,4454.451797384925
2024-06-02,2548.9880566803067,1849.311974531848,4371.778537635015
2024-06-09,1705.2800693131694,1751.9646244283358,4283.683909634029
2024-06-16,2126.045343493186,1681.7728464006113,4191.452531430047
2024-06-23,2381.415909765602,1365.8274371409855,4096.429344204258
2024-06-30,2111.4523991516417,1153.918489432211,4000.0000000000005
2024-07-07,1726.7262952989865,1177.397140930223,3903.570655795741
2024-07-14,3474.7268221439626,1582.6582617758686,3808.5474685699537
2024-07-21,3282.601421656541,1580.945842879003,3716.316090365972
2024-07-28,3230.181995637122,1454.738889836951,3628.2214623649857
2024-08-04,2748.658873643414,1571.6137306597573,3545.548202615075
2024-08-11,2233.125310468608,1734.6298346592805,3469.5018734073637
2024-08-18,2066.9316856087144,1615.810650482328,3401.1914014631193
2024-08-25,1549.3413470699988,1575.7090355657376,3341.6129072850754
2024-09-01,3168.095975180759,1523.497604153148,3291.6351794774328
2024-09-08,2725.0080006891853,1459.4544746963807,3251.987005851669
2024-09-15,3219.063003013852,1279.0998904977646,3223.2465460591584
2024-09-22,2641.31336297054,1135.3542495489273,3205.832900721557
2024-09-29,2736.70858103892,1419.692300167102,3200.0
2024-10-06,2643.5827131418487,1671.9791104804142,3205.8329007215566
2024-10-13,1873.1110154695007,1520.6658558573808,3223.2465460591584
2024-10-20,3285.3238231188307,1407.8316125134834,3251.987005851668
2024-10-27,2698.8595590656987,1102.2199717778485,3291.635179477432
2024-11-03,2008.6588214898682,838.3980574464969,3341.6129072850754
2024-11-10,2673.90728850842,1558.383886132049,3401.1914014631193
2024-11-17,2516.349036630511,1364.0781766463674,3469.5018734073633
2024-11-24,2640.530430163399,1990.7703686016619,3545.5482026150758
2024-12-01,2552.7433732954964,1749.1657308934425,3628.221462364985
2024-12-08,1610.5369749022996,1430.9928361191126,3716.316090365971
2024-12-15,1565.9847978738017,1435.4505212276308,3808.547468569953
2024-12-22,1526.0291077402485,1604.4290499483927,3903.57065579574
2024-12-29,2753.7815808389087,1662.496387945734,4000.000000000001
2025-01-05,2571.9045764320326,1743.2735338316497,4096.429344204259
2025-01-12,2744.8023238523765,1482.3721338301227,4191.452531430046
2025-01-19,2386.278606926779,1760.725992422192,4283.683909634028
2025-01-26,2712.6968036407225,1897.1853493112471,4371.778537635014
2025-02-02,2456.863624257669,1974.5538556369818,4454.451797384923
2025-02-09,2298.9228512238483,1833.4946254418946,4530.498126592636
2025-02-16,2468.9988557500283,1635.590780184736,4598.808598536881
2025-02-23,2481.8874806745434,1466.6024185286271,4658.387092714925
2025-03-02,3714.62372248712,1177.8510625697297,4708.364820522568
2025-03-09,2933.2813253330087,1132.9086521560075,4748.012994148332
2025-03-16,2061.4135857486867,831.0606498386524,4776.753453940842
2025-03-23,2478.9971312417765,677.3746978703376,4794.167099278443
2025-03-30,2042.2940133142238,1111.1279309843032,4800.0
2025-04-06,1227.3975615766767,1162.9474820966932,4794.167099278443
2025-04-13,1275.4649214162907,1314.5266947607258,4776.753453940842
2025-04-20,3480.5077222637397,1526.042590706351,4748.012994148333
2025-04-27,2699.4868844783587,1555.7420635636631,4708.364820522567
2025-05-04,1794.620208529262,1553.813703431352,4658.387092714925
2025-05-11,3481.095688749652,1473.4050539183097,4598.808598536881
2025-05-18,2643.0166657352993,1293.89326845164,4530.498126592636
2025-05-25,3870.4157449339195,1079.7533358440703,4454.451797384925
2025-06-01,3202.8864237046623,1078.4923464742621,4371.778537635015
2025-06-08,3526.7298086102865,1194.3549204500553,4283.683909634029
2025-06-15,2928.8111568073605,1289.4134438619346,4191.452531430047
2025-06-22,2854.138364431411,1567.7388993871277,4096.42934420426
2025-06-29,2539.322593768294,1468.749522839673,4000.0000000000005
2025-07-06,2329.088332274177,1561.8621960762134,3903.570655795741
2025-07-13,2512.9110287094645,1271.7236154408733,3808.5474685699537
2025-07-20,2715.157281252786,1386.3185965281518,3716.316090365972
2025-07-27,2619.6094177006657,1430.6109536368065,3628.2214623649847
2025-08-03,2523.4573220668017,1740.4732226686806,3545.5482026150767
2025-08-10,2070.680124975769,1577.800708039314,3469.5018734073637
2025-08-17,2218.3359835101796,1450.790517347595,3401.191401463119
2025-08-24,3254.134195924619,1592.9234105038852,3341.6129072850754
2025-08-31,2540.8197147725296,1328.7256816490233,3291.6351794774323
2025-09-07,2606.47311783593,1409.8561532965655,3251.987005851669
2025-09-14,3132.612347768664,1172.922875995896,3223.2465460591584
2025-09-21,2967.368217181672,1788.2391404313437,3205.832900721557
2025-09-28,3107.356452995876,1590.085212768654,3200.0
2025-10-05,2309.4234613255553,1314.15230270288,3205.8329007215566
2025-10-12,2525.09465802205,1225.110615405783,3223.2465460591584
2025-10-19,2293.1758897647373,1356.7114668445952,3251.9870058516676
2025-10-26,2211.217022169464,1495.8890459983504,3291.635179477432
2025-11-02,3199.4962740097253,1751.190907721842,3341.612907285075
2025-11-09,2696.423377376423,1530.5584801701111,3401.191401463118
2025-11-16,2686.394358386183,1644.6441782667207,3469.5018734073633
2025-11-23,1784.7460549841685,1323.9113356022924,3545.5482026150758
2025-11-30,3276.8941772542576,1135.529545847354,3628.221462364984
2025-12-07,3199.5333888593436,934.1739594829877,3716.316090365971
2025-12-14,2768.2602114790934,919.0087129387123,3808.547468569954
2025-12-21,2395.64557283228,1365.0822610842683,3903.57065579574
